MGI Gene/Marker ID	Symbol	Name	Chr	Qualifier	Annotated Term	Context	Proteoform	Evidence	Inferred From	Reference(s)
MGI:1861453	Actl6a	actin-like 6A	3		chromatin binding			IBA	PTN001732543 	J:265628 	
MGI:1861453	Actl6a	actin-like 6A	3		chromatin binding			IDA		J:51248 	
MGI:1933548	Actl6b	actin-like 6B	5		chromatin binding			IBA	PTN001732543 	J:265628 	
MGI:1890773	Actn4	actinin alpha 4	7		chromatin DNA binding			ISO	O43707 	J:164563 	
MGI:1914269	Actr6	ARP6 actin-related protein 6	10		nucleosome binding			IBA	PTN000233887 	J:265628 	
MGI:1920610	Actrt1	actin-related protein T1	X		chromatin binding			IBA	PTN000748066 	J:265628 	
MGI:1920610	Actrt1	actin-related protein T1	X		chromatin binding			ISO	Q8TDG2 	J:164563 	
MGI:1338758	Adnp	activity-dependent neuroprotective protein	2		chromatin binding			IDA		J:119141 	
MGI:1338803	Aire	autoimmune regulator (autoimmune polyendocrinopathy candidiasis ectodermal dystrophy)	10		chromatin binding			IBA	PTN002931438 	J:265628 	
MGI:1338803	Aire	autoimmune regulator (autoimmune polyendocrinopathy candidiasis ectodermal dystrophy)	10		chromatin binding			ISO	O43918 	J:164563 	
MGI:1341886	Ajuba	ajuba LIM protein	14		chromatin binding			IDA		J:136087 	
MGI:1928488	Akap8	A kinase (PRKA) anchor protein 8	17		chromatin binding			ISO	O43832 	J:73065 	
MGI:1861447	Ankrd2	ankyrin repeat domain 2 (stretch responsive muscle)	19		chromatin binding	happens in myoblast,uses Gsk3b		IDA		J:214867 	
MGI:1932101	Ankrd17	ankyrin repeat domain 17	5		chromatin binding			ISO	O75179 	J:164563 	
MGI:107765	Apbb1	amyloid beta (A4) precursor protein-binding, family B, member 1	7		chromatin binding			ISO	O00213 	J:164563 	
MGI:88042	Apex1	apurinic/apyrimidinic endonuclease 1	14		chromatin DNA binding			ISO	P27695 	J:164563 	
MGI:88059	App	amyloid beta (A4) precursor protein	16		chromatin binding			ISO	P05067 	J:164563 	
MGI:1913658	Aptx	aprataxin	4		chromatin binding			ISO	Q7Z2E3 	J:164563 	
MGI:88064	Ar	androgen receptor	X		chromatin binding			ISO	RGD:2147 	J:155856 	
MGI:88064	Ar	androgen receptor	X		chromatin binding			ISO	P10275 	J:164563 	
MGI:1935147	Arid1a	AT rich interactive domain 1A (SWI-like)	4	contributes_to	nucleosome binding			IBA	PTN000291886 	J:265628 	
MGI:1935147	Arid1a	AT rich interactive domain 1A (SWI-like)	4	contributes_to	nucleosome binding			IDA		J:192829 	
MGI:1926129	Arid1b	AT rich interactive domain 1B (SWI-like)	17	contributes_to	nucleosome binding			IBA	PTN000291886 	J:265628 	
MGI:1328360	Arid3a	AT rich interactive domain 3A (BRIGHT-like)	10		chromatin binding			IDA		J:177460 	
MGI:3650624	Arid3c	AT rich interactive domain 3C (BRIGHT-like)	4		chromatin binding			IDA		J:177460 	
MGI:2443039	Arid5a	AT rich interactive domain 5A (MRF1-like)	1		chromatin binding			IDA		J:182990 	
MGI:1097716	Arx	aristaless related homeobox	X		chromatin binding	happens in brain venous system,uses Calb2		IDA		J:177918 	
MGI:1097716	Arx	aristaless related homeobox	X		chromatin binding	happens in brain venous system,uses Lmo3		IDA		J:177918 	
MGI:1097716	Arx	aristaless related homeobox	X		chromatin binding	happens in brain venous system,uses Atrx		IDA		J:177918 	
MGI:1097716	Arx	aristaless related homeobox	X		chromatin binding	happens in brain venous system,uses Cdkn1a		IDA		J:177918 	
MGI:1097716	Arx	aristaless related homeobox	X		chromatin binding	happens in brain venous system,uses Zic3		IDA		J:177918 	
MGI:1097716	Arx	aristaless related homeobox	X		chromatin binding	happens in brain venous system,uses Sema3c		IDA		J:177918 	
MGI:1097716	Arx	aristaless related homeobox	X		chromatin binding	happens in brain venous system,uses Ackr3		IDA		J:177918 	
MGI:1097716	Arx	aristaless related homeobox	X		chromatin binding	happens in brain venous system,uses Grm1		IDA		J:177918 	
MGI:1097716	Arx	aristaless related homeobox	X		chromatin binding	happens in brain venous system,uses Shroom3		IDA		J:177918 	
MGI:1097716	Arx	aristaless related homeobox	X		chromatin binding	happens in brain venous system,uses Plpp3		IDA		J:177918 	
MGI:1097716	Arx	aristaless related homeobox	X		chromatin binding	happens in brain venous system,uses Bhlhe22		IDA		J:177918 	
MGI:1097716	Arx	aristaless related homeobox	X		chromatin binding	happens in brain venous system,uses Arid1a		IDA		J:177918 	
MGI:1097716	Arx	aristaless related homeobox	X		chromatin binding	happens in brain venous system,uses Crb1		IDA		J:177918 	
MGI:1097716	Arx	aristaless related homeobox	X		chromatin binding	happens in brain venous system,uses Olig3		IDA		J:177918 	
MGI:1097716	Arx	aristaless related homeobox	X		chromatin binding	happens in brain venous system,uses Jph4		IDA		J:177918 	
MGI:1097716	Arx	aristaless related homeobox	X		chromatin binding	happens in brain venous system,uses Sh3tc2		IDA		J:177918 	
MGI:1097716	Arx	aristaless related homeobox	X		chromatin binding	happens in brain venous system,uses H4c8		IDA		J:177918 	
MGI:1097716	Arx	aristaless related homeobox	X		chromatin binding	happens in brain venous system,uses Cdh2		IDA		J:177918 	
MGI:1097716	Arx	aristaless related homeobox	X		chromatin binding	happens in brain venous system,uses Gabrb3		IDA		J:177918 	
MGI:1097716	Arx	aristaless related homeobox	X		chromatin binding	happens in brain venous system,uses Prph		IDA		J:177918 	
MGI:1097716	Arx	aristaless related homeobox	X		chromatin binding	happens in brain venous system,uses Epha3		IDA		J:177918 	
MGI:96919	Ascl1	achaete-scute family bHLH transcription factor 1	10		chromatin binding	happens in neural tube,uses Dll1		IDA		J:197142 	
MGI:96919	Ascl1	achaete-scute family bHLH transcription factor 1	10		chromatin binding	happens in neural tube,uses Tlx3		IDA		J:197142 	
MGI:1913653	Asf1a	anti-silencing function 1A histone chaperone	10		chromatin binding			IDA		J:202816 	
MGI:2183158	Ash1l	ASH1 like histone lysine methyltransferase	3		chromatin binding			IEA	IPR001025 	J:72247 	
MGI:2684063	Asxl1	ASXL transcriptional regulator 1	2		chromatin binding			IBA	PTN000339786 	J:265628 	
MGI:1922552	Asxl2	ASXL transcriptional regulator 2	12		chromatin binding			IBA	PTN000339786 	J:265628 	
MGI:1922552	Asxl2	ASXL transcriptional regulator 2	12		chromatin binding	happens in heart		IDA		J:189224 	
MGI:2685175	Asxl3	ASXL transcriptional regulator 3	18		chromatin binding			IBA	PTN000339786 	J:265628 	
MGI:1917722	Atad2	ATPase family, AAA domain containing 2	15		chromatin binding			IBA	PTN000552695 	J:265628 	
MGI:2444798	Atad2b	ATPase family, AAA domain containing 2B	12		chromatin binding			IBA	PTN000552695 	J:265628 	
MGI:109349	Atf2	activating transcription factor 2	2		chromatin binding	uses Tgfb2		IDA		J:125640 	
MGI:109349	Atf2	activating transcription factor 2	2		promoter-specific chromatin binding	is a part of cellular response to virus,happens in macrophage,uses Il23a		IDA		J:141299 	
MGI:109349	Atf2	activating transcription factor 2	2		promoter-specific chromatin binding			ISO	P15336 	J:121664 	
MGI:88096	Atf4	activating transcription factor 4	15		promoter-specific chromatin binding	is a part of cellular response to leucine starvation		IDA		J:121664 	
MGI:88096	Atf4	activating transcription factor 4	15		promoter-specific chromatin binding			ISO	P18848 	J:121664 	
MGI:2141857	Atf5	activating transcription factor 5	7		chromatin binding			IDA		J:224721 	
MGI:2141857	Atf5	activating transcription factor 5	7		chromatin binding			ISO	RGD:628902 	J:155856 	
MGI:2141857	Atf5	activating transcription factor 5	7		chromatin binding			ISO	Q9Y2D1 	J:164563 	
MGI:104654	Atoh1	atonal bHLH transcription factor 1	6		chromatin DNA binding	uses Barhl2		IDA		J:98522 	
MGI:103067	Atrx	ATRX, chromatin remodeler	X		chromatin binding			IDA		J:93510 	
MGI:103067	Atrx	ATRX, chromatin remodeler	X		chromatin binding			ISO	P46100 	J:164563 	
MGI:103067	Atrx	ATRX, chromatin remodeler	X		chromatin DNA binding			IBA	PTN002923541 	J:265628 	
