MGI Gene/Marker ID	Symbol	Name	Chr	Qualifier	Annotated Term	Context	Proteoform	Evidence	Inferred From	Reference(s)
MGI:105043	Ahr	aryl-hydrocarbon receptor	12		positive regulation of RNA polymerase II transcription preinitiation complex assembly			IDA		J:14760 	
MGI:1858965	Atf7ip	activating transcription factor 7 interacting protein	6		regulation of RNA polymerase II transcription preinitiation complex assembly			ISO	Q6VMQ6 	J:164563 	
MGI:1917580	Bclaf1	BCL2-associated transcription factor 1	10		positive regulation of DNA-templated transcription initiation			ISO	Q9NYF8 	J:164563 	
MGI:1347077	Bdp1	B double prime 1, subunit of RNA polymerase III transcription initiation factor IIIB	13		RNA polymerase III preinitiation complex assembly			IBA	PTN000532088 	J:265628 	
MGI:1919558	Brf1	BRF1, RNA polymerase III transcription initiation factor 90 kDa subunit	12		DNA-templated transcription initiation			IBA	PTN000178517 	J:265628 	
MGI:1919558	Brf1	BRF1, RNA polymerase III transcription initiation factor 90 kDa subunit	12		transcription preinitiation complex assembly			IEA	IPR000812 	J:72247 	
MGI:1913903	Brf2	BRF2, RNA polymerase III transcription initiation factor 50kDa subunit	8		DNA-templated transcription initiation			IBA	PTN000178517 	J:265628 	
MGI:1913903	Brf2	BRF2, RNA polymerase III transcription initiation factor 50kDa subunit	8		transcription preinitiation complex assembly			IEA	IPR000812 	J:72247 	
MGI:1261820	Cand1	cullin associated and neddylation disassociated 1	10		positive regulation of RNA polymerase II transcription preinitiation complex assembly			ISO	RGD:620479 	J:155856 	
MGI:1277968	Cavin1	caveolae associated 1	11		transcription initiation at RNA polymerase I promoter			IBA	PTN002689946 	J:265628 	
MGI:1277968	Cavin1	caveolae associated 1	11		transcription initiation at RNA polymerase I promoter			IDA		J:121710 	
MGI:1277968	Cavin1	caveolae associated 1	11		transcription initiation at RNA polymerase I promoter			ISO	Q6NZI2 	J:164563 	
MGI:1913921	Ccnh	cyclin H	13		transcription initiation at RNA polymerase II promoter			ISO	P51946 	J:164563 	
MGI:102956	Cdk7	cyclin-dependent kinase 7	13		transcription initiation at RNA polymerase II promoter			ISO	P50613 	J:164563 	
MGI:99480	Cebpa	CCAAT/enhancer binding protein (C/EBP), alpha	7		positive regulation of DNA-templated transcription initiation			ISO	P49715 	J:164563 	
MGI:1100818	Crcp	calcitonin gene-related peptide-receptor component protein	5		DNA-templated transcription initiation			IEA	IPR005574 	J:72247 	
MGI:1100818	Crcp	calcitonin gene-related peptide-receptor component protein	5		transcription initiation at RNA polymerase III promoter			IBA	PTN000399700 	J:265628 	
MGI:88494	Creb1	cAMP responsive element binding protein 1	1		positive regulation of RNA polymerase II transcription preinitiation complex assembly			ISO	RGD:620218 	J:155856 	
MGI:1915756	Ctnnbip1	catenin beta interacting protein 1	4		negative regulation of transcription initiation by RNA polymerase II			IDA		J:163143 	
MGI:1919412	Dhx36	DEAH (Asp-Glu-Ala-His) box polypeptide 36	3		positive regulation of transcription initiation by RNA polymerase II			ISO	Q9H2U1 	J:164563 	
MGI:1100515	Dr1	down-regulator of transcription 1	5		RNA polymerase II preinitiation complex assembly			IBA	PTN000115754 	J:265628 	
MGI:1914923	Elob	elongin B	17		transcription initiation at RNA polymerase II promoter			ISO	Q15370 	J:164563 	
MGI:1915173	Eloc	elongin C	1		transcription initiation at RNA polymerase II promoter			ISO	Q15369 	J:164563 	
MGI:95412	Ercc1	excision repair cross-complementing rodent repair deficiency, complementation group 1	7		positive regulation of transcription initiation by RNA polymerase II	happens in liver		IMP		J:181994 	
MGI:95414	Ercc3	excision repair cross-complementing rodent repair deficiency, complementation group 3	18		transcription initiation at RNA polymerase II promoter			IBA	PTN000138598 	J:265628 	
MGI:1100494	Ercc6	excision repair cross-complementing rodent repair deficiency, complementation group 6	14		positive regulation of transcription initiation by RNA polymerase II	happens in liver		IGI	MGI:99135 	J:181994 	
MGI:1100494	Ercc6	excision repair cross-complementing rodent repair deficiency, complementation group 6	14		positive regulation of transcription initiation by RNA polymerase II	happens in liver		IMP	MGI:1932102 	J:181994 	
MGI:1352467	Esr1	estrogen receptor 1 (alpha)	10		positive regulation of RNA polymerase II transcription preinitiation complex assembly			ISO	P03372 	J:164563 	
MGI:107179	Fosl1	fos-like antigen 1	19		positive regulation of DNA-templated transcription initiation			ISO	P15407 	J:164563 	
MGI:1933277	Gtf2a1	general transcription factor II A, 1	12		positive regulation of transcription initiation by RNA polymerase II			ISO	P52655 	J:164563 	
MGI:1933277	Gtf2a1	general transcription factor II A, 1	12		RNA polymerase II preinitiation complex assembly			IC		J:320280 	
MGI:1933277	Gtf2a1	general transcription factor II A, 1	12		transcription initiation at RNA polymerase II promoter			IEA	IPR004855 IPR009088 	J:72247 	
MGI:1919078	Gtf2a1l	general transcription factor IIA, 1-like	17		transcription initiation at RNA polymerase II promoter			IEA	IPR004855 IPR009088 	J:72247 	
MGI:1933289	Gtf2a2	general transcription factor II A, 2	9		positive regulation of transcription initiation by RNA polymerase II			ISO	P52657 	J:164563 	
